WIGOS ID,WMO INDEX,ICAO,Name,Country,Latitude,Longitude,Altitude,Established,Closed
0-20000-0-03605,03605,EGOP,Pembrey Sands,United Kingdom,51-42-51N,004-22-02W,3,1992-12-11,----
0-0-0-MISSING,03607,----,Pendine,United Kingdom,51-45N,004-31W,5,----,----
0-0-0-MISSING,03608,----,Pendine,United Kingdom,51-45N,004-31W,5,----,----
0-20000-0-03609,03609,----,Mumbles,United Kingdom,51-33-56N,003-58-54W,43,1958-12-02,----
0-20000-0-03611,03611,----,Brynamman,United Kingdom,51-48-43N,003-51-35W,183,1980-01-01,1985-09-30
0-20000-0-03613,03613,----,Cwmbargoed,United Kingdom,51-44-47N,003-19-52W,372,1982-01-01,1992-10-31
0-0-0-MISSING,03614,----,Cilfynydd,United Kingdom,51-38N,003-18W,194,----,----
0-20000-0-03628,03628,----,Filton,United Kingdom,51-31-18N,002-34-37W,56,1957-01-01,2018-10-16
0-20000-0-03629,03629,----,Avonmouth,United Kingdom,51-30-21N,002-42-59W,9,2016-02-10,2021-01-15
0-20000-0-03633,03633,----,Innsworth,United Kingdom,51-53-26N,002-11-41W,21,1977-11-01,1981-12-31
0-0-0-MISSING,03644,EGVA,Fairford Royal Air Force Base,United Kingdom,51-41N,001-47W,87,----,----
0-20000-0-03647,03647,----,Little Rissington,United Kingdom,51-51-38N,001-41-35W,210,1974-01-01,----
0-20000-0-03649,03649,EGVN,Brize Norton,United Kingdom,51-45-29N,001-34-41W,88,1968-01-01,----
0-20000-0-03653,03653,----,Abingdon,United Kingdom,51-41-17N,001-18-25W,69,1957-01-01,1974-09-30
0-20000-0-03658,03658,EGUB,Benson,United Kingdom,51-37-13N,001-05-54W,62,1939-02-01,----
0-20000-0-03660,03660,----,High Wycombe Hqstc,United Kingdom,51-40-54N,000-48-24W,204,1995-11-02,2022-10-12
0-20000-0-03668,03668,----,Dunstable,United Kingdom,51-53-06N,000-32-17W,157,1957-01-01,1960-06-30
0-20000-0-03669,03669,----,Bovingdon,United Kingdom,51-43-24N,000-32-30W,157,1957-01-01,1968-12-31
0-0-0-MISSING,03670,----,Northwood,United Kingdom,51-37N,000-24W,113,----,----
0-20000-0-03672,03672,EGWU,Northolt,United Kingdom,51-32-54N,000-25-00W,38,1974-01-02,----
0-20000-0-03675,03674,----,Chenies,United Kingdom,51-41N,000-32W,139,----,----
0-20000-0-03675,03675,----,Radar Chenies,United Kingdom,51-41-22N,000-31-48W,139,----,----
0-0-0-MISSING,03680,----,Rothamsted,United Kingdom,51-48-21N,000-21-29W,128,----,----
0-0-0-MISSING,03683,EGSS,Stansted Airport,United Kingdom,51-53N,000-14E,106,----,----
0-20000-0-03684,03684,----,Andrewsfield,United Kingdom,51-53-45N,000-27-02E,87,1997-09-19,----
0-20000-0-03693,03693,----,Shoeburyness,United Kingdom,51-33-16N,000-49-36E,2,1981-11-01,----
0-0-0-MISSING,03695,----,Thames Tower,United Kingdom,51-40N,001-06E,8,----,----
0-0-0-MISSING,03696,----,Walton-On-Naze,United Kingdom,51-51N,001-17E,3,----,----
0-20000-0-03697,03697,----,Felixstowe,United Kingdom,51-56-46N,001-19-36E,3,1957-01-01,1961-10-31
0-0-0-MISSING,03700,----,Saint Gowan L. V.,United Kingdom,51-30N,005-00W,5,----,----
0-0-0-MISSING,03701,----,Gawlish,United Kingdom,51-01N,004-29W,122,----,----
0-20000-0-03707,03707,EGDC,Chivenor,United Kingdom,51-05-21N,004-08-54W,8,1957-04-27,----
